,Acc,Prec,Se,Sp,F1,AUC,MCC
LightGBM,0.8578947368421052,0.8528811720036144,0.9807017543859649,0.4894736842105263,0.9120860733917112,0.9073868882733148,0.5914504641702051
MLP,0.8526315789473683,0.8473901149865835,0.9807017543859651,0.46842105263157885,0.9090299604652348,0.8543859649122807,0.5751482737445885
XGBoost,0.8513157894736842,0.8518112395608608,0.9719298245614034,0.4894736842105263,0.9075784138812486,0.9084025854108957,0.5699375060231222
AdaBoost,0.8486842105263157,0.8642498124573604,0.9491228070175438,0.5473684210526315,0.9039150387678546,0.8930747922437673,0.5703944984647171
Logistic Regression,0.8407894736842104,0.8496562113085606,0.9578947368421054,0.48947368421052617,0.9002516464701003,0.8464450600184673,0.5396265913654934
GBDT,0.8407894736842104,0.8374249716958913,0.9789473684210526,0.42631578947368415,0.9023604194673837,0.9090489381348107,0.5351449303322471
Random Forest,0.8302631578947368,0.8332598301826849,0.9684210526315787,0.41578947368421043,0.8953810161044855,0.8761772853185595,0.5031951059927976
SVM,0.8289473684210528,0.8204268742056465,0.9894736842105264,0.34736842105263155,0.8968317209783887,0.8479686057248385,0.4951084108494004
Stacking,0.8197368421052632,0.8102778884933632,0.9929824561403509,0.3,0.8921988168010715,0.8398891966759002,0.4629748781562276
Decision Tree,0.7973684210526316,0.8140591283335301,0.9473684210526315,0.3473684210526315,0.8749638643081272,0.6550323176361957,0.393415629417124
Naive Bayes,0.7947368421052632,0.8735435293277417,0.8526315789473685,0.6210526315789474,0.8613992384365574,0.7729455216989842,0.4672425012639465
KNN,0.7894736842105263,0.8388895162304044,0.8912280701754385,0.4842105263157895,0.8632785480196434,0.7413665743305632,0.4135407199271112
