,Acc,Prec,Se,Sp,F1,AUC,MCC
XGBoost,0.8802631578947369,0.9040149372964255,0.9421052631578947,0.6947368421052632,0.9219676161236873,0.9067405355493999,0.6715663525222029
LightGBM,0.8710526315789474,0.8902141553264601,0.9456140350877194,0.6473684210526317,0.9166295532447662,0.9091412742382271,0.641949212983769
MLP,0.8657894736842104,0.8874764273153891,0.9421052631578947,0.6368421052631579,0.9133777153192939,0.8659279778393352,0.6252106355096455
GBDT,0.8592105263157895,0.8782992929852013,0.9456140350877194,0.6,0.909743638076763,0.8985226223453371,0.606156008344444
SVM,0.8552631578947368,0.8611873754407879,0.9649122807017545,0.5263157894736843,0.9093090948829652,0.8544783010156971,0.585632394058903
Stacking,0.8539473684210526,0.8566222703312103,0.968421052631579,0.5105263157894737,0.908789989878285,0.8627885503231763,0.5788321675680276
AdaBoost,0.843421052631579,0.9100086573190642,0.8807017543859649,0.7315789473684211,0.8936315744657157,0.8979686057248385,0.6005002305046945
Random Forest,0.8355263157894738,0.8682458934734181,0.9245614035087719,0.5684210526315789,0.8936574526443446,0.8779778393351799,0.5453432305170633
Logistic Regression,0.8236842105263158,0.8884015811151194,0.8771929824561404,0.6631578947368422,0.8812751120980465,0.8662049861495845,0.5415955965321959
Decision Tree,0.7723684210526316,0.8553336829575038,0.8403508771929824,0.5684210526315789,0.8451664567147767,0.7524469067405356,0.41472136410955807
KNN,0.7486842105263158,0.8919704345717385,0.7578947368421052,0.7210526315789474,0.8174591490341003,0.7918744228993535,0.43595457350746986
Naive Bayes,0.7328947368421053,0.8953172930703754,0.7315789473684211,0.7368421052631579,0.803162768876471,0.8111726685133887,0.4202023545130191
