,Acc,Prec,Se,Sp,F1,AUC,MCC
GBDT,0.843421052631579,0.9053835408539295,0.8859649122807017,0.7157894736842105,0.8939643632786092,0.8916897506925207,0.5987324485467957
LightGBM,0.8421052631578949,0.9278446125300537,0.8578947368421053,0.7947368421052632,0.8905755461875922,0.9041551246537397,0.6155434705429397
XGBoost,0.8328947368421054,0.9235752104474777,0.8491228070175438,0.7842105263157895,0.8833435657610798,0.8996306555863344,0.5984344380816318
Stacking,0.8236842105263158,0.883760802919755,0.882456140350877,0.6473684210526315,0.8824554544749145,0.8578024007386889,0.5304490525163249
Random Forest,0.8223684210526316,0.8877990114064941,0.8771929824561404,0.6578947368421053,0.8804524627734682,0.8619575253924283,0.5371779534047401
SVM,0.8223684210526316,0.888388398477359,0.8754385964912281,0.6631578947368422,0.8808298293462735,0.8449676823638044,0.5336118708697196
MLP,0.8026315789473684,0.9066255469676523,0.8228070175438595,0.7421052631578948,0.8615657429799113,0.8602954755309324,0.5282612266415451
AdaBoost,0.7828947368421052,0.9263181706147545,0.7736842105263158,0.8105263157894737,0.8416208598207456,0.878393351800554,0.526549625100708
Logistic Regression,0.7328947368421053,0.9213705010304528,0.7052631578947369,0.8157894736842106,0.7963101226156748,0.861034164358264,0.4621440867077232
Naive Bayes,0.6802631578947368,0.9112608856165479,0.6368421052631579,0.8105263157894737,0.7460805545379043,0.8027239150507848,0.39312375733928384
Decision Tree,0.6763157894736842,0.8844524373561109,0.656140350877193,0.7368421052631579,0.7478763761784017,0.7015697137580794,0.34974161979215357
KNN,0.6671052631578946,0.9065364141485404,0.6210526315789474,0.8052631578947368,0.7346103684555698,0.7499538319482919,0.3726205296027084
