,Acc,Prec,Se,Sp,F1,AUC,MCC
MLP,0.8605263157894738,0.8881037763466042,0.9333333333333333,0.6421052631578947,0.909461899755135,0.8578947368421053,0.6133469480835225
GBDT,0.8407894736842106,0.8690249805529942,0.9298245614035088,0.5736842105263158,0.8972992219756517,0.8802400738688828,0.5564591008872852
XGBoost,0.8381578947368421,0.8778133142122476,0.9140350877192983,0.6105263157894736,0.8941434976753346,0.8757156048014773,0.5575510027235941
Random Forest,0.8368421052631578,0.877861459055128,0.9122807017543859,0.6105263157894737,0.892960364942379,0.8640350877192983,0.5568210470035707
Stacking,0.8368421052631578,0.8457700955860862,0.9578947368421054,0.47368421052631576,0.8980824968396315,0.848753462603878,0.5235740813359863
LightGBM,0.8276315789473685,0.8647882463814497,0.9157894736842105,0.5631578947368421,0.8884524119038743,0.8799630655586335,0.5187539087902706
Logistic Regression,0.8263157894736841,0.8878825136534683,0.8824561403508773,0.6578947368421051,0.8832266233962018,0.841274238227147,0.5464851927734016
AdaBoost,0.825,0.8726994830618462,0.9,0.6,0.884791522405312,0.8580794090489381,0.5257080051141203
SVM,0.8184210526315789,0.8452212536178445,0.9298245614035088,0.4842105263157895,0.8847250463300798,0.8401662049861496,0.47582065074259666
Decision Tree,0.7618421052631579,0.8472324691311611,0.8333333333333333,0.5473684210526315,0.839677343728883,0.6909972299168975,0.37610100460985174
Naive Bayes,0.7539473684210527,0.8929126971924065,0.7649122807017544,0.7210526315789474,0.8221673836838083,0.7951523545706372,0.44372530501174545
KNN,0.7223684210526315,0.8596031223011125,0.7543859649122806,0.6263157894736842,0.8021331475833625,0.7501385041551247,0.35030075112890857
