,Accuracy,Precision,Recall,Specificity,F1,AUC,MCC
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBDT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.8129770992366412,0.7887323943661971,0.8549618320610687,0.7709923664122137,0.8205128205128205,0.8429578695880193,0.628172698361793
Stacking,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,0.9847328244274809,0.9703703703703703,1.0,0.9694656488549618,0.9849624060150376,0.9999708641687548,0.9699179041242308
