,Accuracy,Precision,Recall,Specificity,F1,AUC,MCC
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBDT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stacking,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.8053435114503816,0.8389830508474576,0.7557251908396947,0.8549618320610687,0.7951807228915663,0.8831361808752403,0.6137164119322156
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0
