,Accuracy,Precision,Recall,Specificity,F1,AUC,MCC
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stacking,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBDT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,0.950381679389313,1.0,0.9007633587786259,1.0,0.9477911646586346,0.9997960491812832,0.9052317076000179
Naive Bayes,0.7900763358778626,0.8958333333333334,0.6564885496183206,0.9236641221374046,0.7577092511013216,0.8698793776586446,0.6020380379982541
